file,state,tag,building,levels,old_form,fd_region
zz_eco_starters.txt,STATE_BUENOS_AIRES,ARG,building_logging_camp,1,expanded,STATE_BUENOS_AIRES
zz_eco_starters.txt,STATE_CHACO,ARG,building_logging_camp,1,expanded,STATE_BUENOS_AIRES
zz_eco_starters.txt,STATE_CORRIENTES,ARG,building_logging_camp,1,expanded,STATE_BUENOS_AIRES
zz_eco_starters.txt,STATE_JUJUY,ARG,building_iron_mine,1,expanded,STATE_BUENOS_AIRES
zz_eco_starters.txt,STATE_JUJUY,ARG,building_logging_camp,1,expanded,STATE_BUENOS_AIRES
zz_eco_starters.txt,STATE_LA_PAMPA,ARG,building_logging_camp,1,expanded,STATE_BUENOS_AIRES
zz_eco_starters.txt,STATE_TUCUMAN,ARG,building_iron_mine,1,expanded,STATE_BUENOS_AIRES
zz_eco_starters.txt,STATE_TUCUMAN,ARG,building_logging_camp,1,expanded,STATE_BUENOS_AIRES
zz_eco_starters.txt,STATE_AUSTRIA,AUS,building_logging_camp,1,expanded,STATE_AUSTRIA
zz_eco_starters.txt,STATE_BUKOVINA,AUS,building_iron_mine,1,expanded,STATE_AUSTRIA
zz_eco_starters.txt,STATE_DALMATIA,AUS,building_logging_camp,1,expanded,STATE_AUSTRIA
zz_eco_starters.txt,STATE_EAST_GALICIA,AUS,building_logging_camp,1,expanded,STATE_AUSTRIA
zz_eco_starters.txt,STATE_ISTRIA,AUS,building_logging_camp,1,expanded,STATE_AUSTRIA
zz_eco_starters.txt,STATE_LOMBARDY,AUS,building_iron_mine,1,expanded,STATE_AUSTRIA
zz_eco_starters.txt,STATE_LOMBARDY,AUS,building_logging_camp,1,expanded,STATE_AUSTRIA
zz_eco_starters.txt,STATE_MONTENEGRO,AUS,building_logging_camp,1,expanded,STATE_AUSTRIA
zz_eco_starters.txt,STATE_MORAVIA,AUS,building_iron_mine,1,expanded,STATE_AUSTRIA
zz_eco_starters.txt,STATE_SOUTH_TYROL,AUS,building_logging_camp,1,expanded,STATE_AUSTRIA
zz_eco_starters.txt,STATE_STYRIA,AUS,building_logging_camp,1,expanded,STATE_AUSTRIA
zz_eco_starters.txt,STATE_TYROL,AUS,building_logging_camp,1,expanded,STATE_AUSTRIA
zz_eco_starters.txt,STATE_VENETIA,AUS,building_logging_camp,1,expanded,STATE_AUSTRIA
zz_eco_starters.txt,STATE_WEST_GALICIA,AUS,building_logging_camp,1,expanded,STATE_AUSTRIA
zz_eco_starters.txt,STATE_FRANCONIA,BAV,building_iron_mine,1,expanded,STATE_BAVARIA
zz_eco_starters.txt,STATE_RHINELAND,BAV,building_logging_camp,1,expanded,STATE_BAVARIA
zz_eco_starters.txt,STATE_GELRE,BEL,building_logging_camp,1,expanded,STATE_FLANDERS
zz_eco_starters.txt,STATE_ARAKAN,BIC,building_logging_camp,1,expanded,STATE_WEST_BENGAL
zz_eco_starters.txt,STATE_AWADH,BIC,building_logging_camp,1,expanded,STATE_WEST_BENGAL
zz_eco_starters.txt,STATE_BIHAR,BIC,building_iron_mine,1,expanded,STATE_WEST_BENGAL
zz_eco_starters.txt,STATE_BIHAR,BIC,building_logging_camp,1,expanded,STATE_WEST_BENGAL
zz_eco_starters.txt,STATE_BOMBAY,BIC,building_iron_mine,1,expanded,STATE_WEST_BENGAL
zz_eco_starters.txt,STATE_CENTRAL_PROVINCES,BIC,building_logging_camp,1,expanded,STATE_WEST_BENGAL
zz_eco_starters.txt,STATE_CIRCARS,BIC,building_iron_mine,1,expanded,STATE_WEST_BENGAL
zz_eco_starters.txt,STATE_CIRCARS,BIC,building_logging_camp,1,expanded,STATE_WEST_BENGAL
zz_eco_starters.txt,STATE_DELHI,BIC,building_logging_camp,1,expanded,STATE_WEST_BENGAL
zz_eco_starters.txt,STATE_GUJARAT,BIC,building_logging_camp,1,expanded,STATE_WEST_BENGAL
zz_eco_starters.txt,STATE_KURNOOL,BIC,building_iron_mine,1,expanded,STATE_WEST_BENGAL
zz_eco_starters.txt,STATE_KURNOOL,BIC,building_logging_camp,1,expanded,STATE_WEST_BENGAL
zz_eco_starters.txt,STATE_MYSORE,BIC,building_iron_mine,1,expanded,STATE_WEST_BENGAL
zz_eco_starters.txt,STATE_MYSORE,BIC,building_logging_camp,1,expanded,STATE_WEST_BENGAL
zz_eco_starters.txt,STATE_ORISSA,BIC,building_iron_mine,1,expanded,STATE_WEST_BENGAL
zz_eco_starters.txt,STATE_PEGU,BIC,building_logging_camp,1,expanded,STATE_WEST_BENGAL
zz_eco_starters.txt,STATE_RAJPUTANA,BIC,building_iron_mine,1,expanded,STATE_WEST_BENGAL
zz_eco_starters.txt,STATE_TENASSERIM,BIC,building_iron_mine,1,expanded,STATE_WEST_BENGAL
zz_eco_starters.txt,STATE_TENASSERIM,BIC,building_logging_camp,1,expanded,STATE_WEST_BENGAL
zz_eco_starters.txt,STATE_TRAVANCORE,BIC,building_logging_camp,1,expanded,STATE_WEST_BENGAL
zz_eco_starters.txt,STATE_BAHIA,BRZ,building_iron_mine,1,expanded,STATE_RIO_DE_JANEIRO
zz_eco_starters.txt,STATE_CEARA,BRZ,building_iron_mine,1,expanded,STATE_RIO_DE_JANEIRO
zz_eco_starters.txt,STATE_MATO_GROSSO,BRZ,building_iron_mine,1,expanded,STATE_RIO_DE_JANEIRO
zz_eco_starters.txt,STATE_PARAIBA,BRZ,building_logging_camp,1,expanded,STATE_RIO_DE_JANEIRO
zz_eco_starters.txt,STATE_PERNAMBUCO,BRZ,building_logging_camp,1,expanded,STATE_RIO_DE_JANEIRO
zz_eco_starters.txt,STATE_PIAUI,BRZ,building_iron_mine,1,expanded,STATE_RIO_DE_JANEIRO
zz_eco_starters.txt,STATE_RIO_DE_JANEIRO,BRZ,building_logging_camp,1,expanded,STATE_RIO_DE_JANEIRO
zz_eco_starters.txt,STATE_KACHIN,BUR,building_iron_mine,1,expanded,STATE_MANDALAY
zz_eco_starters.txt,STATE_KACHIN,BUR,building_logging_camp,1,expanded,STATE_MANDALAY
zz_eco_starters.txt,STATE_MANDALAY,BUR,building_iron_mine,1,expanded,STATE_MANDALAY
