file,state,signal,field,vanilla,new
00_west_europe.txt,STATE_GOTALAND,capped_5x+1,capped:building_iron_mine,15,36
00_west_europe.txt,STATE_GOTALAND,capped_5x+1,capped:building_lead_mine,0,18
00_west_europe.txt,STATE_GOTALAND,capped_5x+1,capped:building_coal_mine,0,8
01_south_europe.txt,STATE_PIEDMONT,subsistence,subsistence_building,building_subsistence_rice_farm,building_subsistence_farm
01_south_europe.txt,STATE_ARAGON,capped_5x+1,capped:building_coal_mine,18,36
01_south_europe.txt,STATE_ARAGON,capped_5x+1,capped:building_lead_mine,0,36
01_south_europe.txt,STATE_ARAGON,capped_5x+1,capped:building_iron_mine,5,18
03_north_africa.txt,STATE_LIBYA,subsistence,arable_land,28,30
03_north_africa.txt,STATE_LIBYA,subsistence,subsistence_building,building_subsistence_pasture,building_subsistence_farm
03_north_africa.txt,STATE_LIBYA,subsistence,capped:building_fishing_wharf,4,8
04_subsaharan_africa.txt,STATE_NIGER_DELTA,capped_5x+1,arable_land,120,280
04_subsaharan_africa.txt,STATE_NIGER_DELTA,capped_5x+1,capped:building_logging_camp,11,41
04_subsaharan_africa.txt,STATE_NIGER_DELTA,capped_5x+1,capped:building_fishing_wharf,10,30
04_subsaharan_africa.txt,STATE_NIGER_DELTA,capped_5x+1,resource:building_rubber_plantation.undiscovered,,42
04_subsaharan_africa.txt,STATE_NIGER_DELTA,capped_5x+1,resource+:building_oil_rig,0,45
04_subsaharan_africa.txt,STATE_EQUATEUR,capped_5x+1,capped:building_logging_camp,26,56
04_subsaharan_africa.txt,STATE_EAST_ANGOLA,capped_5x+1|resource_5x+1,capped:building_logging_camp,11,61
04_subsaharan_africa.txt,STATE_ZAMBEZI,capped_5x+1|resource_5x+1,capped:building_logging_camp,11,41
04_subsaharan_africa.txt,STATE_ZAMBEZI,capped_5x+1|resource_5x+1,resource:building_rubber_plantation.undiscovered,,36
04_subsaharan_africa.txt,STATE_HEREROLAND,capped_5x+1,capped:building_logging_camp,2,32
04_subsaharan_africa.txt,STATE_HEREROLAND,capped_5x+1,capped:building_fishing_wharf,6,36
04_subsaharan_africa.txt,STATE_ZULULAND,capped_5x+1,capped:building_logging_camp,11,41
04_subsaharan_africa.txt,STATE_ZULULAND,capped_5x+1,capped:building_fishing_wharf,5,35
04_subsaharan_africa.txt,STATE_VRYSTAAT,resource_5x+1,capped:building_logging_camp,7,47
04_subsaharan_africa.txt,STATE_VRYSTAAT,resource_5x+1,resource:building_gold_field.undiscovered,,26
04_subsaharan_africa.txt,STATE_NORTHERN_CAPE,resource_5x+1,capped:building_logging_camp,2,53
04_subsaharan_africa.txt,STATE_NORTHERN_CAPE,resource_5x+1,resource:building_gold_field.discovered,,5
04_subsaharan_africa.txt,STATE_NORTHERN_CAPE,resource_5x+1,resource:building_gold_field.undiscovered,,26
04_subsaharan_africa.txt,STATE_LOURENCO_MARQUES,resource_5x+1,capped:building_coal_mine,40,60
04_subsaharan_africa.txt,STATE_LOURENCO_MARQUES,resource_5x+1,capped:building_logging_camp,9,59
04_subsaharan_africa.txt,STATE_LOURENCO_MARQUES,resource_5x+1,capped:building_fishing_wharf,8,28
04_subsaharan_africa.txt,STATE_LOURENCO_MARQUES,resource_5x+1,resource:building_rubber_plantation.undiscovered,,26
07_south_america.txt,STATE_GUAYANA,capped_5x+1|resource_5x+1,capped:building_logging_camp,20,70
07_south_america.txt,STATE_GUAYANA,capped_5x+1|resource_5x+1,capped:building_fishing_wharf,6,36
07_south_america.txt,STATE_JUJUY,resource_5x+1,arable_land,50,250
07_south_america.txt,STATE_JUJUY,resource_5x+1,capped:building_logging_camp,8,28
07_south_america.txt,STATE_JUJUY,resource_5x+1,resource+:building_gold_field,0,6
07_south_america.txt,STATE_BUENOS_AIRES,arable_x100|resource_5x+1,arable_land,300,700
07_south_america.txt,STATE_BUENOS_AIRES,arable_x100|resource_5x+1,capped:building_logging_camp,9,49
07_south_america.txt,STATE_BUENOS_AIRES,arable_x100|resource_5x+1,capped:building_coal_mine,0,32
07_south_america.txt,STATE_BUENOS_AIRES,arable_x100|resource_5x+1,capped:building_iron_mine,0,15
07_south_america.txt,STATE_BUENOS_AIRES,arable_x100|resource_5x+1,capped:building_fishing_wharf,12,32
07_south_america.txt,STATE_BUENOS_AIRES,arable_x100|resource_5x+1,resource+:building_gold_field,0,6
07_south_america.txt,STATE_CORRIENTES,capped_5x+1,capped:building_iron_mine,0,39
07_south_america.txt,STATE_CORRIENTES,capped_5x+1,capped:building_lead_mine,0,15
07_south_america.txt,STATE_CORRIENTES,capped_5x+1,capped:building_logging_camp,15,36
07_south_america.txt,STATE_CORRIENTES,capped_5x+1,resource+:building_gold_field,0,2
07_south_america.txt,STATE_CORRIENTES,capped_5x+1,resource:building_oil_rig.undiscovered,,25
07_south_america.txt,STATE_TUCUMAN,capped_5x+1,arable_land,60,120
07_south_america.txt,STATE_TUCUMAN,capped_5x+1,capped:building_logging_camp,6,36
07_south_america.txt,STATE_TUCUMAN,capped_5x+1,resource+:building_gold_field,0,2
07_south_america.txt,STATE_TUCUMAN,capped_5x+1,resource+:building_oil_rig,0,15
07_south_america.txt,STATE_SANTIAGO,capped_5x+1,capped:building_logging_camp,6,26
07_south_america.txt,STATE_SANTIAGO,capped_5x+1,capped:building_whaling_station,2,12
07_south_america.txt,STATE_SANTIAGO,capped_5x+1,capped:building_fishing_wharf,8,18
07_south_america.txt,STATE_SANTIAGO,capped_5x+1,resource+:building_gold_field,0,1
07_south_america.txt,STATE_SANTIAGO,capped_5x+1,resource+:building_oil_rig,0,55
07_south_america.txt,STATE_MARANHAO,capped_5x+1|resource_5x+1,capped:building_logging_camp,16,86
07_south_america.txt,STATE_MARANHAO,capped_5x+1|resource_5x+1,capped:building_fishing_wharf,7,47
07_south_america.txt,STATE_MARANHAO,capped_5x+1|resource_5x+1,resource:building_rubber_plantation.discovered,,36
07_south_america.txt,STATE_GOIAS,capped_5x+1|resource_5x+1,capped:building_logging_camp,16,96
07_south_america.txt,STATE_GOIAS,capped_5x+1|resource_5x+1,capped:building_fishing_wharf,7,47
07_south_america.txt,STATE_GOIAS,capped_5x+1|resource_5x+1,resource:building_rubber_plantation.discovered,,36
07_south_america.txt,STATE_MATO_GROSSO,resource_5x+1,capped:building_logging_camp,29,110
07_south_america.txt,STATE_MATO_GROSSO,resource_5x+1,capped:building_iron_mine,18,58
07_south_america.txt,STATE_MATO_GROSSO,resource_5x+1,resource:building_rubber_plantation.discovered,,46
07_south_america.txt,STATE_MATO_GROSSO,resource_5x+1,resource:building_oil_rig.undiscovered,,51
08_middle_east.txt,STATE_TRANSJORDAN,subsistence,subsistence_building,building_subsistence_orchard,building_subsistence_pasture
08_middle_east.txt,STATE_LARISTAN,capped_5x+1,arable_land,30,50
08_middle_east.txt,STATE_LARISTAN,capped_5x+1,capped:building_coal_mine,0,14
08_middle_east.txt,STATE_LARISTAN,capped_5x+1,capped:building_iron_mine,11,51
08_middle_east.txt,STATE_LARISTAN,capped_5x+1,capped:building_sulfur_mine,0,22
08_middle_east.txt,STATE_LARISTAN,capped_5x+1,capped:building_logging_camp,1,3
08_middle_east.txt,STATE_IRAKAJEMI,capped_5x+1,capped:building_logging_camp,6,7
08_middle_east.txt,STATE_IRAKAJEMI,capped_5x+1,capped:building_iron_mine,7,11
08_middle_east.txt,STATE_IRAKAJEMI,capped_5x+1,capped:building_lead_mine,10,18
09_central_asia.txt,STATE_AZERBAIJAN,capped_5x+1,capped:building_logging_camp,4,6
09_central_asia.txt,STATE_ASTRAKHAN,subsistence,arable_land,45,80
09_central_asia.txt,STATE_ASTRAKHAN,subsistence,subsistence_building,building_subsistence_pasture,building_subsistence_farm
09_central_asia.txt,STATE_NGARI,capped_5x+1,capped:building_logging_camp,11,21
09_central_asia.txt,STATE_HIMALAYAS,capped_5x+1|resource_5x+1,capped:building_logging_camp,10,90
09_central_asia.txt,STATE_HIMALAYAS,capped_5x+1|resource_5x+1,capped:building_iron_mine,8,90
09_central_asia.txt,STATE_HIMALAYAS,capped_5x+1|resource_5x+1,capped:building_lead_mine,8,51
09_central_asia.txt,STATE_HIMALAYAS,capped_5x+1|resource_5x+1,capped:building_coal_mine,0,51
09_central_asia.txt,STATE_HIMALAYAS,capped_5x+1|resource_5x+1,resource+:building_oil_rig,0,31
10_india.txt,STATE_DELHI,arable_x100,arable_land,252,1200
10_india.txt,STATE_DELHI,arable_x100,capped:building_iron_mine,0,45
10_india.txt,STATE_DELHI,arable_x100,capped:building_logging_camp,5,43
10_india.txt,STATE_DELHI,arable_x100,capped:bg_monuments,0,1
